代码,名称,涨幅%,现价,涨跌,买价,总量,现量,涨速%,换手%,今开,最高,最低,昨收,量比,振幅%,均价,内盘,外盘,内外比,买量,卖量,开盘金额,开盘换手Z,流通股(亿),流通市值,AB股总市值,强弱度%,活跃度,笔均量,笔换手,连涨天,3日涨幅%,20日涨幅%,60日涨幅%,年初至今%,换手Z,流通市值Z,贝塔系数,开盘%,最高%,最低%,均涨幅%,实体涨幅%,回头波%,攻击波%,现均差%,总股本(亿),总资产(亿),净资产(亿),少数股权(亿),资产负债率%,流动资产(亿),固定资产(亿),无形资产(亿),流动负债(亿),存货(亿),应收帐款(亿),资本公积金(亿),营业收入(亿),营业成本(亿),营业利润(亿),投资收益(亿),利润总额(亿),税后利润(亿),净利润(亿),扣非净利润(亿),未分利润(亿),经营现金流(亿),总现金流(亿),股东人数,利润同比%,收入同比%,市净率,市现率,市销率,股息率%,每股净资,调整后净资,每股公积,每股未分配,每股现金流,权益比%,营业利润率%,净利润率%,研发费用(亿),员工人数
000001,平安银行,0.67,16.45,0.11,16.44,557918,6364,0.24,0.29,16.35,16.55,16.23,16.34,0.88,1.96,16.42,281412,276506,1.02,1311,1117,4349600,0,194.06,       3192.25亿,       3192.27亿,-0.02,4478,125,0.0001,2,0.73,-2.61,10.4,78.13,0.68,       1342.42亿,0.49,0.06,1.29,-0.67,0.48,0.61,-0.6,1.36,0.2,194.06,37076.83,2880.73,0,92.23,0,105.87,45.73,0,0,0,808.16,1029.58,0,307.13,77.17,306.76,236.21,236.21,235.27,1152.93,844.8,-48.56,299958,15.47,18.8,1.19,3.78,3.1,0.79,13.82,13.82,4.16,5.94,4.35,7.77,29.83,22.94,0,33529
000002,万 科Ａ,-0.26,26.42,-0.07,26.41,368124,1537,0.08,0.38,26.4,26.56,26.11,26.49,0.91,1.7,26.4,163315,204809,0.8,42,206,2072400,0,97.15,       2566.75亿,       2569.13亿,-0.96,4188,88,0.0001,-1,0.88,-4.41,0.53,16,0.69,       1413.34亿,0.52,-0.34,0.26,-1.43,-0.35,0.08,-0.53,1.19,0.08,113.02,16387.63,1672.74,775.78,85.06,13581.85,124.12,47.98,12022.99,8598.51,19.31,119.31,2239.15,1433.27,419.61,19.33,418.25,285.9,182.41,181.76,981.54,17.34,-801.63,290546,30.43,27.21,1.79,172.16,1.33,3.95,14.8,0,1.06,8.68,0.15,10.21,18.74,8.15,5.37,104300
000004,国农科技,-0.49,18.35,-0.09,18.35,4882,98,0,0.59,18.48,18.62,18.26,18.44,0.45,1.95,18.43,3268,1614,2.02,29,3,38800,0,0.83,         15.16亿,         15.41亿,-1.19,415,12,0.0014,-3,-2.76,-2.66,-4.18,14.47,0.99,          9.01亿,1.2,0.22,0.98,-0.98,-0.05,-0.7,-1.45,0.49,-0.44,0.84,1.3,0.99,0.18,9.53,0.91,0.01,0,0.12,0,0.19,0.01,1.08,0.26,-0.05,0.11,-0.06,-0.13,-0.1,-0.2,0.03,-0.1,-0.28,10321,-283.57,-57.77,15.52,-156.18,14.25,0,1.18,0,0.01,0.04,-0.12,76.39,-4.3,-9.19,0.03,210
000005,世纪星源,1.04,2.91,0.03,2.91,37922,780,0,0.36,2.88,2.92,2.85,2.88,0.82,2.43,2.89,15389,22533,0.68,2221,2773,9800,0,10.58,         30.79亿,         30.80亿,0.34,846,45,0.0004,1,-1.02,-9.91,4.68,8.58,0.46,         24.03亿,1.18,0,1.39,-1.04,0.46,1.04,-0.34,2.11,0.59,10.59,30.64,15.37,0.93,46.82,18.24,0.3,0.66,14.27,4.7,3.81,6.88,5.69,3.77,0.69,-0.17,0.72,0.47,0.45,-0.53,-2.52,1.28,-0.02,127684,582.03,48.69,2,24.04,5.41,0,1.45,0,0.65,-0.24,0.12,50.15,12.15,7.82,0.17,745
000006,深振业Ａ,0.4,5.08,0.02,5.08,40357,164,0.2,0.3,5.05,5.11,5.01,5.06,0.94,1.98,5.07,17741,22616,0.78,632,5,21700,0,13.48,         68.49亿,         68.58亿,-0.3,1385,29,0.0002,1,0.2,0.19,3.26,1.9,0.47,         43.81亿,1.05,-0.2,0.99,-0.99,0.25,0.59,-0.59,1.4,0.15,13.5,154.89,63.86,3.23,56.69,122.35,0.13,0,56.61,71.1,0.07,4.84,19.63,11.62,5.97,0.77,5.91,4.62,4.52,4.52,30.68,4.75,5.42,68117,-10.21,23.19,1.07,14.45,3.49,3.85,4.73,0,0.36,2.27,0.35,41.23,30.41,23.01,0,377
000007,全新好,2.19,11.18,0.24,11.18,169270,2462,0.18,5.48,10.51,11.4,10.4,10.94,1.4,9.14,11.03,78923,90347,0.87,141,144,3571300,0.15,3.09,         34.54亿,         38.73亿,1.5,3020,56,0.0018,1,11.25,19.44,51.9,38.71,7.24,         26.16亿,0.7,-3.93,4.2,-4.94,0.85,6.37,-1.93,7.5,1.34,3.46,3.57,1.81,0.03,48.26,0.99,0.64,0,0.41,0,0,1.57,0.31,0.1,0.18,-0.06,-0.04,-0.09,-0.09,0.08,-3.31,-0.22,0.04,20417,-7.5,-3.68,21.35,-179.89,124.65,0,0.52,0,0.45,-0.96,-0.06,50.77,57.49,-29.96,0,84
000008,神州高铁,0.3,3.33,0.01,3.33,106926,806,0,0.41,3.32,3.34,3.31,3.32,0.79,0.9,3.32,52587,54339,0.97,1604,3432,105200,0,25.94,         86.37亿,         92.60亿,-0.4,1826,59,0.0002,1,-0.01,-6.2,-4.03,-14.17,0.64,         55.95亿,1.07,0,0.6,-0.3,0.14,0.3,-0.3,0.6,0.16,27.81,106,72.06,0.95,31.12,55.72,4.02,2.45,30.02,8.69,30.62,27.71,15.6,7.28,1.96,0.05,2.02,1.58,1.48,1.27,17.9,-1.91,-5.82,102362,20.13,20.98,1.29,-48.43,5.94,0.3,2.59,0,1,0.64,-0.07,67.98,12.56,9.51,1.51,2631
000009,中国宝安,1.12,4.5,0.05,4.5,89976,506,0,0.35,4.48,4.53,4.41,4.45,0.55,2.7,4.49,36525,53451,0.68,1862,221,286300,0,25.44,        114.47亿,        116.06亿,0.43,1808,50,0.0002,1,0.44,-2.17,4.41,25.88,0.43,         94.18亿,1.14,0.67,1.8,-0.9,0.96,0.45,-0.66,2.04,0.16,25.79,304.88,53.89,52.19,65.2,202.4,42.26,10.9,128.26,95.54,22.74,4.04,87.56,56.05,8.68,-0.86,8.79,5.74,2.01,1.63,21.36,13.91,2.7,158851,103.52,31.68,2.15,8.34,1.33,0.37,2.09,0,0.16,0.83,0.54,17.68,9.91,2.29,2.71,13620
000010,*ST美丽,-1.17,3.38,-0.04,3.39,9692,17,0,0.19,3.41,3.45,3.38,3.42,1.44,2.05,3.4,6786,2906,2.34,13,439,0,0,5.22,         17.65亿,         27.71亿,-1.87,179,54,0.001,-1,-0.6,-3.43,9.39,3.68,0.21,         15.26亿,0.21,-0.29,0.88,-1.17,-0.62,-0.88,-2.03,0,-0.55,8.2,42.63,4.41,2.81,83.06,35.59,0.65,0.1,34.65,16.15,10.74,14.74,10.83,8.19,1.65,0.28,1.64,1.11,0.44,0.16,-18.61,-0.95,0.31,34263,122.75,478.32,6.28,-29.09,2.56,0,0.54,0,1.8,-2.27,-0.12,10.35,15.23,4.03,0.01,545
000011,深物业A,1.68,9.07,0.15,9.07,14128,75,0.11,0.27,8.91,9.15,8.9,8.92,1.23,2.8,9.05,5951,8177,0.73,140,124,15100,0,5.26,         47.75亿,         54.06亿,0.98,709,20,0.0004,1,0.56,-4.83,-1.2,2.14,0.97,         13.25亿,1.21,-0.11,2.58,-0.22,1.47,1.8,-0.87,1.91,0.21,5.96,104.84,32.61,1.33,67.63,94.01,0.5,0,48.43,40.91,1.06,1.19,10.02,5.32,1.06,0.02,1.07,0.46,1.03,1.03,22.5,5.34,1.37,41305,-28.52,-16.43,1.66,10.12,5.39,3.36,5.47,0,0.2,3.77,0.9,31.11,10.61,10.29,0,5504
